b'id',b'key',b'value',b'type'
20756977,b'created_by',b'almien_coastlines',b'regular'
20756977,b'source',b'PGS',b'regular'
20756978,b'created_by',b'almien_coastlines',b'regular'
20756978,b'source',b'PGS',b'regular'
20756979,b'created_by',b'almien_coastlines',b'regular'
20756979,b'source',b'PGS',b'regular'
20756980,b'created_by',b'almien_coastlines',b'regular'
20756980,b'source',b'PGS',b'regular'
20756981,b'created_by',b'almien_coastlines',b'regular'
20756981,b'source',b'PGS',b'regular'
20756982,b'created_by',b'almien_coastlines',b'regular'
20756982,b'source',b'PGS',b'regular'
20756983,b'created_by',b'almien_coastlines',b'regular'
20756983,b'source',b'PGS',b'regular'
20756984,b'created_by',b'almien_coastlines',b'regular'
20756984,b'source',b'PGS',b'regular'
20756985,b'created_by',b'almien_coastlines',b'regular'
20756985,b'source',b'PGS',b'regular'
20756986,b'created_by',b'almien_coastlines',b'regular'
20756986,b'source',b'PGS',b'regular'
20756987,b'created_by',b'almien_coastlines',b'regular'
20756987,b'source',b'PGS',b'regular'
20756988,b'created_by',b'almien_coastlines',b'regular'
20756988,b'source',b'PGS',b'regular'
20756989,b'created_by',b'almien_coastlines',b'regular'
20756989,b'source',b'PGS',b'regular'
20756990,b'created_by',b'almien_coastlines',b'regular'
20756990,b'source',b'PGS',b'regular'
20756991,b'created_by',b'almien_coastlines',b'regular'
20756991,b'source',b'PGS',b'regular'
20756992,b'created_by',b'almien_coastlines',b'regular'
20756992,b'source',b'PGS',b'regular'
20757522,b'source',b'PGS',b'regular'
20757779,b'created_by',b'almien_coastlines',b'regular'
20757779,b'source',b'PGS',b'regular'
20757780,b'created_by',b'almien_coastlines',b'regular'
20757780,b'source',b'PGS',b'regular'
20757781,b'created_by',b'almien_coastlines',b'regular'
20757781,b'source',b'PGS',b'regular'
20757783,b'source',b'PGS',b'regular'
20757784,b'created_by',b'almien_coastlines',b'regular'
20757784,b'source',b'PGS',b'regular'
20757785,b'source',b'PGS',b'regular'
20757786,b'source',b'PGS',b'regular'
20757787,b'source',b'PGS',b'regular'
20757788,b'created_by',b'almien_coastlines',b'regular'
20757788,b'source',b'PGS',b'regular'
20757789,b'source',b'PGS',b'regular'
20757790,b'source',b'PGS',b'regular'
20757792,b'source',b'PGS',b'regular'
20757793,b'source',b'PGS',b'regular'
20757794,b'source',b'PGS',b'regular'
20757795,b'source',b'PGS',b'regular'
20757796,b'source',b'PGS',b'regular'
20757798,b'source',b'PGS',b'regular'
20757799,b'created_by',b'almien_coastlines',b'regular'
20757799,b'source',b'PGS',b'regular'
20757800,b'source',b'PGS',b'regular'
20757801,b'source',b'PGS',b'regular'
20757802,b'created_by',b'almien_coastlines',b'regular'
20757802,b'source',b'PGS',b'regular'
20757803,b'created_by',b'almien_coastlines',b'regular'
20757803,b'source',b'PGS',b'regular'
20757805,b'created_by',b'almien_coastlines',b'regular'
20757805,b'source',b'PGS',b'regular'
20757806,b'created_by',b'almien_coastlines',b'regular'
20757806,b'source',b'PGS',b'regular'
20757807,b'source',b'PGS',b'regular'
20757808,b'created_by',b'almien_coastlines',b'regular'
20757808,b'source',b'PGS',b'regular'
20757809,b'source',b'PGS',b'regular'
20757810,b'created_by',b'almien_coastlines',b'regular'
20757810,b'source',b'PGS',b'regular'
20757812,b'source',b'PGS',b'regular'
20757813,b'source',b'PGS',b'regular'
20757814,b'created_by',b'almien_coastlines',b'regular'
20757814,b'source',b'PGS',b'regular'
20757815,b'created_by',b'almien_coastlines',b'regular'
20757815,b'source',b'PGS',b'regular'
20757816,b'source',b'PGS',b'regular'
20757818,b'source',b'PGS',b'regular'
20757819,b'source',b'PGS',b'regular'
20757820,b'source',b'PGS',b'regular'
20757821,b'source',b'PGS',b'regular'
20757822,b'source',b'PGS',b'regular'
20757823,b'source',b'PGS',b'regular'
20757824,b'source',b'PGS',b'regular'
20757825,b'source',b'PGS',b'regular'
20757826,b'source',b'PGS',b'regular'
20757827,b'source',b'PGS',b'regular'
20757828,b'created_by',b'almien_coastlines',b'regular'
20757828,b'source',b'PGS',b'regular'
20757829,b'source',b'PGS',b'regular'
20757830,b'source',b'PGS',b'regular'
20757831,b'source',b'PGS',b'regular'
20757832,b'source',b'PGS',b'regular'
20757833,b'source',b'PGS',b'regular'
20757834,b'source',b'PGS',b'regular'
20757835,b'source',b'PGS',b'regular'
20757836,b'source',b'PGS',b'regular'
20757837,b'source',b'PGS',b'regular'
20757840,b'source',b'PGS',b'regular'
20757841,b'source',b'PGS',b'regular'
20757871,b'source',b'PGS',b'regular'
20757872,b'source',b'PGS',b'regular'
20757873,b'source',b'PGS',b'regular'
20757874,b'source',b'PGS',b'regular'
20757896,b'source',b'PGS',b'regular'
20757902,b'source',b'PGS',b'regular'
20757905,b'source',b'PGS',b'regular'
20757906,b'source',b'PGS',b'regular'
20757924,b'source',b'PGS',b'regular'
20757929,b'created_by',b'almien_coastlines',b'regular'
20757929,b'source',b'PGS',b'regular'
20757930,b'created_by',b'almien_coastlines',b'regular'
20757930,b'source',b'PGS',b'regular'
20757931,b'source',b'PGS',b'regular'
20757932,b'source',b'PGS',b'regular'
20757945,b'source',b'PGS',b'regular'
20757946,b'created_by',b'almien_coastlines',b'regular'
20757946,b'source',b'PGS',b'regular'
20757947,b'source',b'PGS',b'regular'
20757948,b'source',b'PGS',b'regular'
20757949,b'source',b'PGS',b'regular'
20757950,b'source',b'PGS',b'regular'
20757957,b'source',b'PGS',b'regular'
20757958,b'source',b'PGS',b'regular'
20757959,b'source',b'PGS',b'regular'
20757961,b'source',b'PGS',b'regular'
20757962,b'source',b'PGS',b'regular'
20757963,b'source',b'PGS',b'regular'
20757978,b'source',b'PGS',b'regular'
20757980,b'source',b'PGS',b'regular'
20757984,b'source',b'PGS',b'regular'
20757985,b'source',b'PGS',b'regular'
20757986,b'source',b'PGS',b'regular'
20757988,b'source',b'PGS',b'regular'
20757992,b'source',b'PGS',b'regular'
20757997,b'source',b'PGS',b'regular'
20757998,b'source',b'PGS',b'regular'
20757999,b'source',b'PGS',b'regular'
20758000,b'source',b'PGS',b'regular'
20758001,b'source',b'PGS',b'regular'
20758003,b'source',b'PGS',b'regular'
20758006,b'source',b'PGS',b'regular'
20758018,b'source',b'PGS',b'regular'
20758025,b'source',b'PGS',b'regular'
20758034,b'source',b'PGS',b'regular'
20758043,b'source',b'PGS',b'regular'
20758058,b'source',b'PGS',b'regular'
20758059,b'source',b'PGS',b'regular'
20758060,b'source',b'PGS',b'regular'
20758061,b'source',b'PGS',b'regular'
20758075,b'source',b'PGS',b'regular'
20758076,b'source',b'PGS',b'regular'
20758077,b'source',b'PGS',b'regular'
20758079,b'source',b'PGS',b'regular'
20758080,b'source',b'PGS',b'regular'
