b'id',b'user',b'uid',b'version',b'changeset',b'timestamp'
b'3984019',b'Coastline Southern Africa',b'4430',b'2',b'43095',b'2007-12-02T08:34:18Z'
b'3984020',b'CamGreen',b'5294434',b'29',b'57391283',b'2018-03-21T16:16:10Z'
b'3984042',b'Adrian Frith',b'5616',b'14',b'21634660',b'2014-04-11T21:27:58Z'
b'3984050',b'Firefishy',b'3560',b'2',b'13194373',b'2012-09-21T11:21:07Z'
b'7515083',b'Tinshack',b'32169',b'5',b'21572224',b'2014-04-08T14:14:59Z'
b'7515091',b'Ropino',b'42123',b'4',b'14323826',b'2012-12-18T21:03:32Z'
b'7515099',b'Ryan Peel',b'37024',b'6',b'3565124',b'2010-01-07T20:11:09Z'
b'7515105',b'Ryan Peel',b'37024',b'5',b'3565124',b'2010-01-07T20:11:05Z'
b'7515114',b'Ryan Peel',b'37024',b'2',b'475000',b'2008-07-13T01:20:25Z'
b'7515120',b'Ryan Peel',b'37024',b'3',b'628328',b'2008-07-30T17:00:08Z'
b'7515138',b'Ryan Peel',b'37024',b'8',b'3565124',b'2010-01-07T20:11:09Z'
b'7573685',b'Teddy73',b'136321',b'17',b'5315458',b'2010-07-25T19:13:23Z'
b'8048115',b'Teddy73',b'136321',b'10',b'5315458',b'2010-07-25T19:45:55Z'
b'8048116',b'Teddy73',b'136321',b'6',b'5315458',b'2010-07-25T19:13:41Z'
b'8048280',b'Teddy73',b'136321',b'8',b'5315458',b'2010-07-25T19:13:54Z'
b'18457772',b'Teddy73',b'136321',b'22',b'5315458',b'2010-07-25T19:13:27Z'
b'18457783',b'Russell Cloran',b'11991',b'1',b'428247',b'2007-12-26T13:13:39Z'
b'18457784',b'Teddy73',b'136321',b'5',b'5315458',b'2010-07-25T20:01:12Z'
b'18457785',b'Patrick Dalais',b'141381',b'3',b'2299829',b'2009-08-29T11:53:43Z'
b'18457787',b'Teddy73',b'136321',b'4',b'5315458',b'2010-07-25T19:13:41Z'
b'18457789',b'Ryan Peel',b'37024',b'6',b'2649918',b'2009-09-27T10:13:13Z'
b'18457791',b'Teddy73',b'136321',b'5',b'5315458',b'2010-07-25T19:13:29Z'
b'18457794',b'Teddy73',b'136321',b'5',b'5315458',b'2010-07-25T19:13:57Z'
b'18457798',b'Teddy73',b'136321',b'5',b'5315458',b'2010-07-25T19:13:53Z'
b'18457806',b'Teddy73',b'136321',b'4',b'5315458',b'2010-07-25T19:13:33Z'
b'18483736',b'Alan Melly',b'5205100',b'9',b'45547955',b'2017-01-27T08:08:45Z'
b'18483740',b'Russell Cloran',b'11991',b'2',b'432050',b'2007-12-26T22:40:07Z'
b'18483745',b'Russell Cloran',b'11991',b'1',b'430412',b'2007-12-26T17:05:58Z'
b'18483751',b'andyblack',b'471372',b'2',b'8885077',b'2011-07-31T20:29:11Z'
b'18483775',b'Kelerei',b'233136',b'9',b'20135812',b'2014-01-22T05:55:11Z'
b'18483781',b'Kelerei',b'233136',b'4',b'20135812',b'2014-01-22T05:55:09Z'
b'18483796',b'Kelerei',b'233136',b'4',b'20135812',b'2014-01-22T05:55:09Z'
b'18483799',b'andyblack',b'471372',b'3',b'8885077',b'2011-07-31T20:33:56Z'
b'18483803',b'Kelerei',b'233136',b'5',b'20135812',b'2014-01-22T05:55:11Z'
b'18483816',b'Sumarie',b'716352',b'2',b'12852860',b'2012-08-25T09:00:00Z'
b'18521389',b'Russell Cloran',b'11991',b'2',b'449588',b'2007-12-27T22:53:40Z'
b'18521449',b'Kelerei',b'233136',b'5',b'32571419',b'2015-07-11T21:56:47Z'
b'18521455',b'Kelerei',b'233136',b'6',b'20135812',b'2014-01-22T05:55:11Z'
b'18521460',b'Kelerei',b'233136',b'4',b'20135812',b'2014-01-22T05:55:11Z'
b'18521465',b'Kelerei',b'233136',b'3',b'20135812',b'2014-01-22T05:55:11Z'
b'18521469',b'unbeZAhlbar',b'1212182',b'5',b'29065370',b'2015-02-24T12:06:24Z'
b'18521473',b'Kelerei',b'233136',b'9',b'32571419',b'2015-07-11T21:56:47Z'
b'18521476',b'Kelerei',b'233136',b'4',b'32571419',b'2015-07-11T21:56:48Z'
b'18521494',b'unbeZAhlbar',b'1212182',b'5',b'29065370',b'2015-02-24T12:06:28Z'
b'18521533',b'Kelerei',b'233136',b'3',b'20135812',b'2014-01-22T05:55:15Z'
b'18598012',b'Kelerei',b'233136',b'4',b'32632170',b'2015-07-14T16:37:10Z'
b'18598030',b'Kelerei',b'233136',b'20',b'32571419',b'2015-07-11T21:56:39Z'
b'18676074',b'Russell Cloran',b'11991',b'4',b'572797',b'2008-01-08T08:12:32Z'
b'18676081',b'Werner RSA',b'156193',b'2',b'4654733',b'2010-05-09T22:07:16Z'
b'18676085',b'Russell Cloran',b'11991',b'1',b'449588',b'2007-12-27T22:52:10Z'
b'18676089',b'Russell Cloran',b'11991',b'1',b'449588',b'2007-12-27T22:52:12Z'
b'18682851',b'unbeZAhlbar',b'1212182',b'2',b'29065370',b'2015-02-24T12:05:42Z'
b'18791627',b'Patrick Dalais',b'141381',b'2',b'2266554',b'2009-08-26T12:47:51Z'
b'18791629',b'unbeZAhlbar',b'1212182',b'4',b'15803979',b'2013-04-20T21:29:22Z'
b'18886728',b'andyblack',b'471372',b'8',b'8948139',b'2011-08-07T15:23:26Z'
b'19024167',b'J_Schofield',b'599257',b'9',b'34751851',b'2015-10-20T10:15:43Z'
b'19024172',b'mfvl',b'204153',b'5',b'6324995',b'2010-11-09T01:56:57Z'
b'19024177',b'Teddy73',b'136321',b'7',b'5315458',b'2010-07-25T20:20:29Z'
b'19024181',b'mfvl',b'204153',b'5',b'6324995',b'2010-11-09T01:56:43Z'
b'19024184',b'Teddy73',b'136321',b'6',b'5315458',b'2010-07-25T19:45:44Z'
b'19024187',b'Teddy73',b'136321',b'2',b'5315458',b'2010-07-25T19:45:52Z'
b'19024188',b'Teddy73',b'136321',b'2',b'5315458',b'2010-07-25T19:45:36Z'
b'19024190',b'Teddy73',b'136321',b'2',b'5315458',b'2010-07-25T19:45:55Z'
b'19024193',b'Teddy73',b'136321',b'3',b'5315458',b'2010-07-25T19:45:53Z'
b'19024194',b'Russell Cloran',b'11991',b'1',b'481876',b'2007-12-30T08:37:03Z'
b'19024195',b'Patrick Dalais',b'141381',b'2',b'1954331',b'2009-07-27T12:11:06Z'
b'19024536',b'Speedophile',b'255621',b'4',b'4703372',b'2010-05-15T07:37:15Z'
b'19024541',b'Speedophile',b'255621',b'5',b'4703372',b'2010-05-15T07:37:18Z'
b'19183288',b'Davio',b'217070',b'10',b'16483897',b'2013-06-09T15:43:08Z'
b'19526559',b'andyblack',b'471372',b'3',b'8747914',b'2011-07-17T13:20:00Z'
b'19528470',b'Russell Cloran',b'11991',b'1',b'510938',b'2008-01-02T09:43:43Z'
b'19528471',b'Russell Cloran',b'11991',b'1',b'510938',b'2008-01-02T09:43:44Z'
b'19528473',b'Russell Cloran',b'11991',b'1',b'510938',b'2008-01-02T09:43:44Z'
b'19528475',b'Russell Cloran',b'11991',b'1',b'510938',b'2008-01-02T09:43:45Z'
b'19528476',b'Russell Cloran',b'11991',b'2',b'572797',b'2008-01-08T08:12:29Z'
b'19528477',b'Russell Cloran',b'11991',b'1',b'510938',b'2008-01-02T09:43:47Z'
b'19528483',b'Russell Cloran',b'11991',b'1',b'510938',b'2008-01-02T09:43:49Z'
b'19541608',b'Russell Cloran',b'11991',b'1',b'511968',b'2008-01-02T11:31:26Z'
b'19541614',b'Ross Lagerwall',b'3001448',b'2',b'32097232',b'2015-06-20T13:39:57Z'
b'19541615',b'Hiltonmundell',b'108810',b'2',b'834300',b'2009-03-19T19:14:14Z'
b'19541622',b'Ross Lagerwall',b'3001448',b'2',b'32097317',b'2015-06-20T13:44:47Z'
b'19541624',b'Russell Cloran',b'11991',b'1',b'511968',b'2008-01-02T11:31:30Z'
b'19541627',b'Russell Cloran',b'11991',b'1',b'511968',b'2008-01-02T11:31:31Z'
b'19541628',b'Russell Cloran',b'11991',b'1',b'511968',b'2008-01-02T11:31:32Z'
b'19541630',b'Russell Cloran',b'11991',b'1',b'511968',b'2008-01-02T11:31:32Z'
b'19541632',b'cakesale',b'7112980',b'3',b'55723037',b'2018-01-24T20:18:51Z'
b'19541634',b'Russell Cloran',b'11991',b'1',b'511968',b'2008-01-02T11:31:34Z'
b'19541640',b'Russell Cloran',b'11991',b'1',b'511968',b'2008-01-02T11:31:36Z'
b'19541643',b'Russell Cloran',b'11991',b'1',b'511968',b'2008-01-02T11:31:37Z'
b'19541645',b'Russell Cloran',b'11991',b'1',b'511968',b'2008-01-02T11:31:37Z'
b'19541648',b'Russell Cloran',b'11991',b'1',b'511968',b'2008-01-02T11:31:38Z'
b'19541650',b'begetipa',b'221222',b'2',b'3666247',b'2010-01-20T12:31:41Z'
b'19546548',b'Patrick Dalais',b'141381',b'3',b'2266554',b'2009-08-26T12:47:47Z'
