b'id',b'key',b'value',b'type'
b'3984019',b'created_by',b'almien_coastlines',b'regular'
b'3984019',b'natural',b'coastline',b'regular'
b'3984019',b'source',b'PGS',b'regular'
b'3984020',b'natural',b'coastline',b'regular'
b'3984020',b'source',b'PGS',b'regular'
b'3984042',b'natural',b'coastline',b'regular'
b'3984042',b'source',b'PGS',b'regular'
b'3984050',b'natural',b'coastline',b'regular'
b'3984050',b'source',b'PGS',b'regular'
b'7515083',b'aeroway',b'runway',b'regular'
b'7515083',b'closed',b'yes',b'regular'
b'7515083',b'ref',b'X',b'regular'
b'7515083',b'surface',b'asphalt',b'regular'
b'7515091',b'aeroway',b'taxiway',b'regular'
b'7515099',b'aeroway',b'taxiway',b'regular'
b'7515105',b'aeroway',b'taxiway',b'regular'
b'7515114',b'aeroway',b'taxiway',b'regular'
b'7515114',b'created_by',b'Potlatch 0.9c',b'regular'
b'7515120',b'aeroway',b'taxiway',b'regular'
b'7515120',b'created_by',b'Potlatch 0.9c',b'regular'
b'7515138',b'aeroway',b'apron',b'regular'
b'7573685',b'highway',b'motorway',b'regular'
b'7573685',b'oneway',b'yes',b'regular'
b'7573685',b'ref',b'N3',b'regular'
b'8048115',b'highway',b'motorway',b'regular'
b'8048115',b'oneway',b'yes',b'regular'
b'8048115',b'ref',b'N3',b'regular'
b'8048116',b'bridge',b'yes',b'regular'
b'8048116',b'highway',b'motorway',b'regular'
b'8048116',b'layer',b'2',b'regular'
b'8048116',b'oneway',b'yes',b'regular'
b'8048116',b'ref',b'N3',b'regular'
b'8048280',b'bridge',b'yes',b'regular'
b'8048280',b'highway',b'motorway',b'regular'
b'8048280',b'layer',b'2',b'regular'
b'8048280',b'oneway',b'yes',b'regular'
b'8048280',b'ref',b'N3',b'regular'
b'18457772',b'highway',b'motorway',b'regular'
b'18457772',b'oneway',b'yes',b'regular'
b'18457772',b'ref',b'N3',b'regular'
b'18457783',b'created_by',b'JOSM',b'regular'
b'18457783',b'highway',b'motorway_link',b'regular'
b'18457783',b'oneway',b'yes',b'regular'
b'18457784',b'highway',b'motorway_link',b'regular'
b'18457784',b'oneway',b'yes',b'regular'
b'18457785',b'highway',b'motorway_link',b'regular'
b'18457785',b'oneway',b'yes',b'regular'
b'18457787',b'highway',b'motorway_link',b'regular'
b'18457787',b'oneway',b'yes',b'regular'
b'18457789',b'highway',b'motorway_link',b'regular'
b'18457789',b'oneway',b'yes',b'regular'
b'18457791',b'highway',b'motorway_link',b'regular'
b'18457791',b'oneway',b'yes',b'regular'
b'18457794',b'highway',b'motorway_link',b'regular'
b'18457794',b'oneway',b'yes',b'regular'
b'18457798',b'highway',b'motorway_link',b'regular'
b'18457798',b'oneway',b'yes',b'regular'
b'18457806',b'highway',b'motorway_link',b'regular'
b'18457806',b'oneway',b'yes',b'regular'
b'18483736',b'highway',b'tertiary',b'regular'
b'18483736',b'name',b'Old Main Road',b'regular'
b'18483740',b'created_by',b'JOSM',b'regular'
b'18483740',b'highway',b'residential',b'regular'
b'18483740',b'name',b'Bluegum Road',b'regular'
b'18483745',b'created_by',b'JOSM',b'regular'
b'18483745',b'highway',b'residential',b'regular'
b'18483745',b'name',b'Bluegum Crescent',b'regular'
b'18483751',b'highway',b'residential',b'regular'
b'18483751',b'name',b'Beechwood Road',b'regular'
b'18483775',b'destination',b'Abrey Road;Old Main Road',b'regular'
b'18483775',b'highway',b'motorway_link',b'regular'
b'18483775',b'name',b'Old Main Road',b'regular'
b'18483775',b'oneway',b'yes',b'regular'
b'18483781',b'direction',b'clockwise',b'regular'
b'18483781',b'highway',b'secondary',b'regular'
b'18483781',b'junction',b'roundabout',b'regular'
b'18483781',b'ref',b'M33',b'regular'
b'18483796',b'direction',b'clockwise',b'regular'
b'18483796',b'highway',b'secondary',b'regular'
b'18483796',b'junction',b'roundabout',b'regular'
b'18483796',b'ref',b'M33',b'regular'
b'18483799',b'highway',b'service',b'regular'
b'18483799',b'oneway',b'yes',b'regular'
b'18483803',b'highway',b'secondary',b'regular'
b'18483803',b'name',b'Old Main Road',b'regular'
b'18483803',b'oneway',b'yes',b'regular'
b'18483803',b'ref',b'M33',b'regular'
b'18483816',b'highway',b'service',b'regular'
b'18483816',b'oneway',b'yes',b'regular'
b'18521389',b'created_by',b'JOSM',b'regular'
b'18521389',b'highway',b'residential',b'regular'
b'18521389',b'name',b'Woodlands Road',b'regular'
b'18521449',b'highway',b'secondary',b'regular'
b'18521449',b'lanes',b'1',b'regular'
b'18521449',b'name',b'Old Main Road',b'regular'
b'18521449',b'oneway',b'yes',b'regular'
b'18521449',b'placement',b'right_of:1',b'regular'
b'18521449',b'ref',b'M39',b'regular'
b'18521455',b'highway',b'secondary',b'regular'
b'18521455',b'name',b'Old Main Road',b'regular'
b'18521455',b'oneway',b'yes',b'regular'
b'18521455',b'ref',b'M39',b'regular'
b'18521460',b'highway',b'secondary',b'regular'
b'18521460',b'name',b'Old Main Road',b'regular'
b'18521460',b'oneway',b'yes',b'regular'
b'18521460',b'ref',b'M33',b'regular'
b'18521465',b'highway',b'secondary',b'regular'
b'18521465',b'name',b'Old Main Road',b'regular'
b'18521465',b'oneway',b'yes',b'regular'
b'18521465',b'ref',b'M33',b'regular'
b'18521469',b'building',b'yes',b'regular'
b'18521469',b'name',b'Fields Centre',b'regular'
b'18521473',b'highway',b'secondary',b'regular'
b'18521473',b'lanes',b'2',b'regular'
b'18521473',b'name',b'Old Main Road',b'regular'
b'18521473',b'oneway',b'yes',b'regular'
b'18521473',b'placement',b'transition',b'regular'
b'18521473',b'ref',b'M39',b'regular'
b'18521476',b'forward',b'Pinetown',b'destination'
b'18521476',b'highway',b'secondary',b'regular'
b'18521476',b'name',b'Old Main Road',b'regular'
b'18521476',b'oneway',b'no',b'regular'
b'18521494',b'building',b'yes',b'regular'
b'18521494',b'name',b'Kloof Village Mall',b'regular'
b'18521533',b'highway',b'unclassified',b'regular'
b'18521533',b'oneway',b'no',b'regular'
b'18598012',b'bridge',b'yes',b'regular'
b'18598012',b'highway',b'motorway',b'regular'
b'18598012',b'lanes',b'2',b'regular'
b'18598012',b'layer',b'1',b'regular'
b'18598012',b'maxspeed',b'100',b'regular'
b'18598012',b'oneway',b'yes',b'regular'
b'18598012',b'ref',b'M13',b'regular'
b'18598012',b'source',b'GPS',b'regular'
b'18598030',b'highway',b'motorway',b'regular'
b'18598030',b'lanes',b'3',b'regular'
b'18598030',b'maxspeed',b'100',b'regular'
b'18598030',b'name',b'Arthur Hopewell Highway',b'regular'
b'18598030',b'oneway',b'yes',b'regular'
b'18598030',b'placement',b'left_of:2',b'regular'
b'18598030',b'ref',b'M13',b'regular'
b'18598030',b'source',b'GPS',b'regular'
b'18676074',b'created_by',b'JOSM',b'regular'
b'18676074',b'highway',b'residential',b'regular'
b'18676074',b'name',b'Everton Road',b'regular'
b'18676081',b'highway',b'motorway_link',b'regular'
b'18676081',b'oneway',b'yes',b'regular'
b'18676085',b'created_by',b'JOSM',b'regular'
